ID,COUNTRY,SOURCE,StartDate,EndDate,Duration,RecDate,CITY,DES_DISP1,DES_DISP2,DES_DISP3,DES_DISP4,DES_DISP5,CANT_DES,R_DES1,R_DES2,R_DES3,R_DES4,R_DES5,CHOICE_DES,MEJ_DES,SEG_DES,TER_DES,CUAR_DES,SAF_DISP1,SAF_DISP2,SAF_DISP3,SAF_DISP4,CANT_SAF,R_SAF1,R_SAF2,R_SAF3,R_SAF4,CHOICEAF,MEJ_SAF,SEG_SAF,TER_SAF,SEC_DISP1,SEC_DISP2,SEC_DISP3,SEC_DISP4,SEC_DISP5,CANT_SEC,R_SEC1,R_SEC2,R_SEC3,R_SEC4,R_SEC5,CHOICE_SEC,MEJ_SEC,SEG_SEC,TER_SEC,CUAR_SEC,DEST_DISP1,DEST_DISP2,DEST_DISP3,DEST_DISP4,DEST_DISP5,CANT_DEST,R_DEST1,R_DEST2,R_DEST3,R_DEST4,R_DEST5,CHOICE_DEST,MEJ_DEST,SEG_DEST,TER_DEST,CUAR_DEST,ATR_DISP1,ATR_DISP2,ATR_DISP3,ATR_DISP4,ATR_DISP5,ATR_DISP6,ATR_DISP7,ATR_DISP8,CANT_ATR,R_ATR1,R_ATR2,R_ATR3,R_ATR4,R_ATR5,R_ATR6,R_ATR7,R_ATR8,CHOICE_ATR,MEJ_ATR,SEG_ATR,TER_ATR,CUAR_ATR,QUIN_ATR,SEXTO_ATR,SEPT_ATR,R_DESIGN,R_SAFETY,R_SECURITY,R_DESTIN,R_ATRACT,AGE,GENDER,DISABILITY,SES,INC,NRES,NEIGH,NEIGH2,OCCUP,EDUCATION,NWT_WD,DWT_WD,NEIGH_WD,NEIGH2_WD,NWT_WE,DWT_WE,NEIGH_WE,NEIGH2_WE,WEXP_BASE,WEXP_S1A,WEXP_S1B,WEXP_S2A,WEXP_S2B,WEXP_S3A,WEXP_S3B,WEXP_S4A,WEXP_S4B,WEXP_S5A,WEXP_S5B,VR,CS
3001,CHL,JAC,12-08-2024 16:59,12-08-2024 17:37,2315,12-08-2024 17:37,CONCE,0,1,0,1,1,2,999999,2,999999,1,3,4,4,2,9999,9999,1,1,1,1,3,3,2,1,4,3,3,2,1,1,0,1,0,0,1,2,999999,1,999999,999999,3,3,9999,9999,9999,1,1,1,1,0,3,2,3,1,4,999999,3,3,1,2,9999,1,0,0,1,0,0,0,0,1,2,999999,999999,1,999999,999999,999999,999999,4,4,999999,999999,999999,999999,999999,999999,4,1,2,3,5,33,Masculino,Dificultad para oír.,999999,0 - 400.000,999999,Concepción	,999999,Pensionado,Escuela secundaria,1,Más de 60 min por viaje.,Hualpén	,"$999,999",4,Menos de 5 min por viaje.,Talcahuano,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,1
3002,CHL,JAC,04-09-2024 10:18,04-09-2024 10:28,579,04-09-2024 10:28,CONCE,1,1,1,0,0,2,1,2,3,999999,999999,1,1,2,9999,9999,0,1,1,1,2,999999,1,2,3,2,2,3,9999,1,1,1,0,1,3,3,1,4,999999,2,2,2,5,1,9999,1,1,0,1,1,3,1,2,999999,3,4,1,1,2,4,9999,1,1,1,1,0,0,0,1,4,1,5,2,3,999999,999999,999999,4,1,1,3,4,8,999999,999999,999999,2,5,3,1,4,31,Masculino,No presento ninguna dificultad o limitación.,999999,800.000 - 1.200.000,999999,Concepción	,999999,Empleado,Posgrado universitario,5 o más,Entre 5 a 10 min por viaje.,Concepción	,"$999,999",4,Entre 5 a 10 min por viaje.,Concepción	,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,1
3003,CHL,JAC,04-09-2024 11:02,04-09-2024 11:03,61,04-09-2024 11:03,CONCE,1,0,0,0,0,0,1,999999,999999,999999,999999,999999,999999,9999,9999,9999,1,0,0,0,0,1,999999,999999,999999,999999,999999,9999,9999,1,1,0,0,0,1,1,2,999999,999999,999999,1,1,9999,9999,9999,1,1,0,0,0,1,1,2,999999,999999,999999,1,1,9999,9999,9999,1,1,0,0,0,0,0,0,1,1,2,999999,999999,999999,999999,999999,999999,1,1,999999,999999,999999,999999,999999,999999,1,2,3,4,5,22,Femenino,No presento ninguna dificultad o limitación.,999999,400.000 - 800.000,999999,Penco,999999,Desempleado,Escuela secundaria,1,Menos de 5 min por viaje.,Hualqui	,"$999,999",3,Menos de 5 min por viaje.,Florida	,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"Si, deseo continuar:",1
3004,CHL,JAC,04-09-2024 11:04,04-09-2024 11:06,103,04-09-2024 11:06,CONCE,0,1,0,0,0,0,999999,1,999999,999999,999999,999999,999999,9999,9999,9999,1,0,0,0,0,1,999999,999999,999999,999999,999999,9999,9999,1,0,0,0,0,0,1,999999,999999,999999,999999,999999,999999,9999,9999,9999,0,0,1,0,0,0,999999,999999,1,999999,999999,999999,999999,9999,9999,9999,0,1,1,0,0,0,0,0,1,999999,1,2,999999,999999,999999,999999,999999,2,2,999999,999999,999999,999999,999999,999999,1,2,3,4,5,22,Femenino,Dificultad para oír.,999999,400.000 - 800.000,999999,Hualqui	,999999,Pensionado,Educación técnica o tecnológica,1,Entre 30 a 45 min por viaje.,Lota,"$999,999",1,Entre 30 a 45 min por viaje.,Hualpén	,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"Si, deseo continuar:",1
3005,CHL,JAC,04-09-2024 11:06,04-09-2024 11:07,48,04-09-2024 11:07,CONCE,1,0,0,0,0,0,1,999999,999999,999999,999999,999999,999999,9999,9999,9999,0,1,1,0,1,999999,1,2,999999,2,2,9999,9999,0,1,1,0,0,1,999999,1,2,999999,999999,2,2,9999,9999,9999,0,1,1,0,0,1,999999,1,2,999999,999999,2,2,9999,9999,9999,0,1,1,0,0,0,0,0,1,999999,1,2,999999,999999,999999,999999,999999,2,2,999999,999999,999999,999999,999999,999999,1,2,3,4,5,22,Femenino,Dificultad para ver.,999999,400.000 - 800.000,999999,Hualpén	,999999,Estudiante,Educación técnica o tecnológica,3,Entre 45 a 60 min por viaje.,Lota,"$999,999",4,Entre 20 a 30 min por viaje.,Concepción	,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
3007,CHL,JAC,06-09-2024 15:12,06-09-2024 15:17,309,06-09-2024 15:17,CONCE,0,0,0,1,0,0,999999,999999,999999,1,999999,999999,999999,9999,9999,9999,1,0,1,1,2,1,999999,3,2,1,1,4,9999,1,0,1,0,0,1,1,999999,2,999999,999999,1,1,9999,9999,9999,0,0,1,0,1,1,999999,999999,2,999999,1,5,5,9999,9999,9999,0,0,1,1,0,0,1,0,2,999999,999999,3,2,999999,999999,1,999999,7,7,4,999999,999999,999999,999999,999999,3,1,2,5,4,51,Masculino,Dificultad para caminar o moverme libremente.,999999,800.000 - 1.200.000,999999,Concepción	,Concepción centro,Independiente,Posgrado universitario,1,Entre 10 a 15 min por viaje.,Concepción	,Concepción centro,1,Menos de 5 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
3008,CHL,JAC,06-09-2024 15:09,06-09-2024 15:23,812,06-09-2024 15:23,CONCE,0,1,1,1,0,2,999999,1,3,2,999999,2,2,4,9999,9999,0,1,1,1,2,999999,2,3,1,4,4,2,9999,1,1,1,0,1,3,1,2,3,999999,4,1,1,2,3,9999,1,1,1,1,1,4,2,3,5,4,1,5,5,1,2,4,1,0,0,1,0,0,1,1,3,1,999999,999999,3,999999,999999,2,4,1,1,7,4,999999,999999,999999,999999,2,4,3,5,1,59,Femenino,No presento ninguna dificultad o limitación.,999999,400.000 - 800.000,999999,San Pedro de la Paz,999999,Independiente,Ninguna de los anteriores,2,Entre 10 a 15 min por viaje.,Concepción	,"$999,999",5 o más,Entre 5 a 10 min por viaje.,San Pedro de la Paz,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
3011,CHL,JAC,13-09-2024 14:49,13-09-2024 15:01,713,13-09-2024 15:01,CONCE,1,1,1,1,1,4,1,3,4,2,5,1,1,4,2,3,1,0,1,1,2,1,999999,3,2,1,1,4,9999,1,0,1,0,0,1,1,999999,2,999999,999999,1,1,9999,9999,9999,1,0,0,1,1,2,2,999999,999999,3,1,5,5,1,9999,9999,1,1,1,1,0,1,0,0,4,1,5,2,3,999999,4,999999,999999,1,1,3,4,6,999999,999999,999999,3,1,2,5,4,24,Masculino,No presento ninguna dificultad o limitación.,999999,1.600.000 - 2.000.000,999999,Concepción	,Concepción centro,Estudiante,Escuela secundaria,3,Entre 10 a 15 min por viaje.,Concepción	,Concepción centro,2,Entre 5 a 10 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"Si, deseo continuar:",1
3013,CHL,JAC,02-10-2024 11:44,02-10-2024 11:51,389,02-10-2024 11:51,CONCE,0,0,0,1,0,0,999999,999999,999999,1,999999,999999,999999,9999,9999,9999,0,0,0,1,0,999999,999999,999999,1,999999,999999,9999,9999,0,0,1,0,0,0,999999,999999,1,999999,999999,999999,999999,9999,9999,9999,0,0,1,0,0,0,999999,999999,1,999999,999999,999999,999999,9999,9999,9999,1,0,0,0,0,0,0,0,0,1,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,1,2,4,3,5,76,Masculino,No presento ninguna dificultad o limitación.,999999,0 - 400.000,999999,Concepción	,Concepción centro,Pensionado,Pregrado universitario,5 o más,Entre 15 a 20 min por viaje.,Concepción	,Concepción centro,5 o más,Entre 15 a 20 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
3014,CHL,JAC,02-10-2024 12:35,02-10-2024 12:41,346,02-10-2024 12:41,CONCE,1,0,1,1,1,3,3,999999,1,2,4,3,3,4,1,9999,1,1,0,1,2,1,3,999999,2,1,1,4,9999,1,0,1,0,1,2,3,999999,1,999999,2,3,3,5,9999,9999,1,0,1,0,0,1,1,999999,2,999999,999999,1,1,9999,9999,9999,1,0,0,1,0,0,1,1,3,1,999999,999999,4,999999,999999,2,3,1,1,7,8,999999,999999,999999,999999,2,1,3,4,5,65,Femenino,No presento ninguna dificultad o limitación.,999999,0 - 400.000,999999,Concepción	,Concepción centro,Pensionado,Escuela secundaria,5 o más,Entre 20 a 30 min por viaje.,Concepción	,Concepción centro,5 o más,Entre 20 a 30 min por viaje.,Concepción	,Concepción centro,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,"No, gracias.",1
